,Gebietsnummer,Anteil Deutsche Bevölkerung 2013,Anteil Nichtdeutsche EU Bevölkerung 2013,Anteil Nichtdeutsche nicht EU Bevölkerung 2013,Anteil Migrationshintergrund Bevölkerung 2013,Anteil Verheiratete Bevölkerung 2013,Anteil 18 - 24 Jährige Wahlberechtigte 2013,Anteil 25 - 34 Jährige Wahlberechtigte 2013,Anteil 35 - 44 Jährige Wahlberechtigte 2013,Anteil 45 - 59 Jährige Wahlberechtigte 2013,Anteil 60 Jährige und ältere Wahlberechtigte 2013,Anteil Einpersonenhaushalte 2013,Anteil Haushalte mit Kind(ern) 2013,SV-Beschäftigtendichte 2013,Arbeitslosendichte 2013,ALG II - Empfängerdichte 2013
105,12007,0.783824263604593,0.0868696954568148,0.129306040938592,0.341487768347479,0.359960059910135,0.24088145896656502,0.16109422492401199,0.14817629179331301,0.22492401215805502,0.22492401215805502,0.37974683544303794,0.24050632911392397,0.507,0.028,0.039
106,12008,0.762628739578225,0.135360470819029,0.102010789602746,0.3339872486513,0.381069151544875,0.11957349581111999,0.16603198781416598,0.161462300076161,0.257425742574257,0.295506473724296,0.518774703557312,0.16798418972332002,0.507,0.028,0.039
107,12009,0.6902398676592221,0.22456575682382104,0.0851943755169562,0.400330851943755,0.36393713813068607,0.116294793779581,0.247464503042596,0.132521974306964,0.247464503042596,0.256254225828262,0.567127746135069,0.128559804719284,0.507,0.028,0.039
108,12010,0.6703125,0.147265625,0.182421875,0.45390625,0.38046875,0.0871898054996646,0.17840375586854504,0.140174379610999,0.218645204560698,0.375586854460094,0.596527777777778,0.12986111111111098,0.507,0.028,0.039
109,12011,0.710232158211522,0.134995700773861,0.154772141014617,0.48753224419604496,0.38779019776440204,0.0791925465838509,0.402173913043478,0.267080745341615,0.166149068322981,0.0854037267080745,0.299785867237687,0.325481798715203,0.507,0.028,0.039
110,12012,0.7269102990033219,0.144186046511628,0.12890365448505,0.570764119601329,0.38073089700996704,0.0768229166666667,0.28255208333333304,0.28385416666666696,0.23046875,0.126302083333333,0.39262820512820507,0.33653846153846195,0.507,0.028,0.039
111,12013,0.6513975155279499,0.203416149068323,0.145186335403727,0.4968944099378879,0.28454968944099396,0.14218645204560698,0.31589537223340003,0.122736418511066,0.20523138832998,0.21395036887994603,0.6766729205753601,0.113821138211382,0.507,0.028,0.039
112,12014,0.47066090179122905,0.21278567016677,0.31655342804200104,0.5948116121062379,0.16121062384187804,0.32898550724637704,0.273188405797101,0.0876811594202898,0.123188405797101,0.18695652173913002,0.564945226917058,0.15805946791862302,0.507,0.028,0.039
113,12015,0.8129353233830849,0.11940298507462699,0.0676616915422886,0.287064676616915,0.28308457711442797,0.07615894039735101,0.272185430463576,0.162251655629139,0.213907284768212,0.275496688741722,0.7156931738212529,0.071780436312456,0.507,0.028,0.039
114,12016,0.716616573636754,0.15929583512237,0.124087591240876,0.444396736796909,0.279519106912838,0.11239782016348801,0.37874659400545,0.17915531335149898,0.186648501362398,0.143051771117166,0.6066282420749279,0.12752161383285301,0.507,0.028,0.039
115,12017,0.779482262703739,0.120805369127517,0.099712368168744,0.32118887823585807,0.4002876318312561,0.0788352272727273,0.1484375,0.150568181818182,0.234375,0.387784090909091,0.5544899738448129,0.140366172624237,0.507,0.028,0.039
116,12018,0.863190500774393,0.0898296334537945,0.0469798657718121,0.24987093443469302,0.3164687661331961,0.0980926430517711,0.17574931880109002,0.172343324250681,0.189373297002725,0.364441416893733,0.6072796934865899,0.138888888888889,0.507,0.028,0.039
117,12019,0.813212927756654,0.126901140684411,0.0598859315589354,0.30560836501901095,0.321768060836502,0.0746860541969597,0.252478519497687,0.197620621282221,0.185723727693325,0.289491077329808,0.646751306945482,0.110530246452577,0.507,0.028,0.039
