,Gebietsnummer,Bevölkerung 2013,Bevölkerung 2017,Bevölkerung 2020,Anteil Deutsche Bevölkerung 2013,Anteil Nichtdeutsche EU Bevölkerung 2013,Anteil Nichtdeutsche nicht EU Bevölkerung 2013,Anteil Deutsche Bevölkerung 2017,Anteil Nichtdeutsche EU Bevölkerung 2017,Anteil Nichtdeutsche nicht EU Bevölkerung 2017,Anteil Deutsche Bevölkerung 2020,Anteil Nichtdeutsche EU Bevölkerung 2020,Anteil Nichtdeutsche nicht EU Bevölkerung 2020,Anteil Migrationshintergrund Bevölkerung 2013,Anteil Migrationshintergrund Bevölkerung 2017,Anteil Migrationshintergrund Bevölkerung 2020,Anteil Ledige Bevölkerung 2013,Anteil Verheiratete Bevölkerung 2013,Anteil Ledige Bevölkerung 2017,Anteil Verheiratete Bevölkerung 2017,Anteil Ledige Bevölkerung 2020,Anteil Verheiratete Bevölkerung 2020,Anteil 18 - 24 Jährige Wahlberechtigte 2013,Anteil 25 - 34 Jährige Wahlberechtigte 2013,Anteil 35 - 44 Jährige Wahlberechtigte 2013,Anteil 45 - 59 Jährige Wahlberechtigte 2013,Anteil 60 Jährige und ältere Wahlberechtigte 2013,Anteil 18 - 24 Jährige Wahlberechtigte 2017,Anteil 25 - 34 Jährige Wahlberechtigte 2017,Anteil 35 - 44 Jährige Wahlberechtigte 2017,Anteil 45 - 59 Jährige Wahlberechtigte 2017,Anteil 60 Jährige und ältere Wahlberechtigte 2017,Anteil 18 - 24 Jährige Wahlberechtigte 2020,Anteil 25 - 34 Jährige Wahlberechtigte 2020,Anteil 35 - 44 Jährige Wahlberechtigte 2020,Anteil 45 - 59 Jährige Wahlberechtigte 2020,Anteil 60 Jährige und ältere Wahlberechtigte 2020,Anteil Einpersonenhaushalte 2013,Anteil Haushalte mit Kind(ern) 2013,Anteil Einpersonenhaushalte 2017,Anteil Haushalte mit Kind(ern) 2017,Anteil Einpersonenhaushalte 2020,Anteil Haushalte mit Kind(ern) 2020,durchschnittliche Wohndauer 2013,durchschnittliche Wohndauer 2017,durchschnittliche Wohndauer 2020,SV-Beschäftigtendichte 2013,Arbeitslosendichte 2013,ALG II - Empfängerdichte 2013,SV-Beschäftigtendichte 2017,Arbeitslosendichte 2017,ALG II - Empfängerdichte 2017,Wahlbeteiligung 2017,SV-Beschäftigtendichte 2020,Arbeitslosendichte 2020,Erwerbsfähige Leistungsberechtigtendichte 2020,Wahlbeteiligung 2013
84,11011,2658,2760,2951,0.639954853273138,0.176448457486832,0.18359668924003,0.622101449275362,0.185869565217391,0.192028985507246,0.590308370044053,0.184344290071162,0.225347339884785,0.527840481565087,0.565217391304348,0.626567265333785,0.50150489089541,0.386004514672686,0.508333333333333,0.384057971014493,0.529650965774314,0.365299898339546,0.118574366004112,0.240575736806032,0.135023989033585,0.215215901302262,0.29061000685401,0.0747728860936408,0.272536687631027,0.156533892382949,0.216631726065688,0.279524807826695,0.0880056777856636,0.259048970901348,0.185237757274663,0.19375443577005,0.273953158268275,0.567275185936444,0.150101419878296,0.553713527851459,0.159814323607427,0.556179775280899,0.18601747815231,18.6221719457014,18.4338662790698,17.8143002372077,0.525,0.052000000000000005,0.08,0.5720000000000001,0.046,0.073,0.742,0.632,0.032,0.06,0.639
85,11012,2949,2949,2920,0.634452356731095,0.143099355713801,0.222448287555103,0.623601220752798,0.167514411664971,0.208884367582231,0.604794520547945,0.181849315068493,0.213356164383562,0.575449304849101,0.598507968802984,0.630479452054794,0.471685317056629,0.373007799253984,0.48694472702611,0.361817565276365,0.481849315068493,0.369178082191781,0.112881806108898,0.229083665338645,0.116201859229748,0.217795484727756,0.324037184594954,0.0916030534351145,0.247744621790423,0.126301179736294,0.215822345593338,0.31852879944483,0.108774474256708,0.227701232777375,0.13633067440174,0.197969543147208,0.329224075416969,0.489376285126799,0.220013708019191,0.530839895013123,0.201443569553806,0.508843537414966,0.212925170068027,20.5032345931222,20.5057666214383,20.725,0.525,0.052000000000000005,0.08,0.5720000000000001,0.046,0.073,0.677,0.632,0.032,0.06,0.596
86,11013,2811,2942,2933,0.584133760227677,0.223408039843472,0.192458199928851,0.591094493541808,0.218898708361659,0.190006798096533,0.579952267303103,0.207296283668599,0.212751449028299,0.540021344717182,0.540108769544528,0.56836004091374,0.573817146922803,0.313767342582711,0.595173351461591,0.299116247450714,0.587794067507671,0.304807364473236,0.137627118644068,0.301016949152542,0.125423728813559,0.188474576271186,0.247457627118644,0.131544502617801,0.318062827225131,0.138743455497382,0.168848167539267,0.242801047120419,0.127914723517655,0.305129913391073,0.163224516988674,0.144570286475683,0.259160559626915,0.613520408163265,0.110969387755102,0.625986642380085,0.11778992106861,0.646576945582212,0.106495026331188,14.9693950177936,14.9329475833901,15.3034435731333,0.525,0.052000000000000005,0.08,0.5720000000000001,0.046,0.073,0.7440000000000001,0.632,0.032,0.06,0.667
87,11014,2122,2154,2113,0.800188501413761,0.11875589066918,0.0810556079170594,0.78644382544104,0.123955431754875,0.0896007428040854,0.778040700425935,0.121628017037388,0.100331282536678,0.320452403393025,0.3347260909935,0.347373402744912,0.49387370405278,0.369462770970782,0.503249767873723,0.361188486536676,0.513014671083767,0.353525792711784,0.075,0.200675675675676,0.147972972972973,0.249324324324324,0.327027027027027,0.0596298834818369,0.2145305003427,0.146675805346127,0.25017135023989,0.328992460589445,0.0679886685552408,0.202549575070822,0.127478753541076,0.259915014164306,0.342067988668555,0.606870229007634,0.126717557251908,0.632243684992571,0.135215453194651,0.633384146341463,0.132621951219512,22.1591123701605,22.0548072457037,22.6086133459536,0.525,0.052000000000000005,0.08,0.5720000000000001,0.046,0.073,0.8240000000000001,0.632,0.032,0.06,0.703
88,11015,2363,2353,2294,0.712230215827338,0.168006771053745,0.119763013118917,0.694857628559286,0.177220569485763,0.127921801954951,0.69180470793374,0.173060156931125,0.135135135135135,0.434617012272535,0.451763705907352,0.467741935483871,0.515023275497249,0.336859923825645,0.535911602209945,0.320441988950276,0.538796861377506,0.314298169136879,0.0891677675033025,0.230515191545575,0.148612945838838,0.228533685601057,0.303170409511229,0.0624142661179698,0.256515775034294,0.137174211248285,0.225651577503429,0.318244170096022,0.0565770862800566,0.25954738330976,0.137199434229137,0.230551626591231,0.316124469589816,0.634746922024624,0.104651162790698,0.658455392809587,0.105858854860186,0.665084745762712,0.111864406779661,19.5050890585242,19.9744789451297,20.2693984306888,0.525,0.052000000000000005,0.08,0.5720000000000001,0.046,0.073,0.763,0.632,0.032,0.06,0.682
89,11016,2585,2784,2812,0.586460348162476,0.243326885880077,0.170212765957447,0.568247126436782,0.25323275862069,0.178520114942529,0.538051209103841,0.264580369843528,0.197368421052632,0.53036750483559,0.570402298850575,0.603129445234708,0.531528046421663,0.324177949709865,0.541666666666667,0.32507183908046,0.52773826458037,0.349928876244666,0.123367198838897,0.246008708272859,0.164731494920174,0.216255442670537,0.249637155297533,0.103960396039604,0.282178217821782,0.168316831683168,0.214285714285714,0.231258840169731,0.0949510173323286,0.269781461944235,0.185380557648832,0.20422004521477,0.245666917859834,0.657926829268293,0.0975609756097561,0.654946364719905,0.121573301549464,0.638717632552404,0.11960542540074,16.0697134004648,15.4381981981982,15.4679943100996,0.525,0.052000000000000005,0.08,0.5720000000000001,0.046,0.073,0.7220000000000001,0.632,0.032,0.06,0.657
90,11017,2744,2863,2824,0.635204081632653,0.23432944606414,0.130466472303207,0.615787635347538,0.24135522179532,0.142857142857143,0.596317280453258,0.234773371104816,0.168909348441926,0.524416909620991,0.551519385260217,0.577903682719547,0.521865889212828,0.338192419825073,0.529165211316801,0.336709745022703,0.53328611898017,0.339235127478754,0.0661157024793388,0.260330578512397,0.172865013774105,0.244490358126722,0.256198347107438,0.084573748308525,0.24830852503383,0.165087956698241,0.235453315290934,0.266576454668471,0.0987482614742698,0.242698191933241,0.15855354659249,0.228789986091794,0.271210013908206,0.582382762991128,0.165399239543726,0.586609336609337,0.157862407862408,0.604829210836278,0.137809187279152,16.8424707602339,17.1850297306751,17.7156515580737,0.525,0.052000000000000005,0.08,0.5720000000000001,0.046,0.073,0.7590000000000001,0.632,0.032,0.06,0.684
91,11018,3262,3299,3266,0.56591048436542,0.198344573881055,0.235744941753525,0.568050924522582,0.202485601697484,0.229463473779933,0.566748315982854,0.195652173913044,0.237599510104103,0.622011036174126,0.638678387390118,0.657072872014697,0.490496627835684,0.381054567749847,0.508335859351318,0.361624734768112,0.500306184935701,0.3683404776485,0.110805230557467,0.224363386097729,0.13833448038541,0.220922229869236,0.305574673090158,0.108695652173913,0.27241847826087,0.123641304347826,0.198369565217391,0.296875,0.105696636925189,0.266986959505834,0.135895676046671,0.19423472889499,0.297185998627316,0.518299881936246,0.201889020070838,0.54185520361991,0.187782805429864,0.549320732427643,0.188422917897224,18.0451474201474,18.31299332119,18.7770973668096,0.525,0.052000000000000005,0.08,0.5720000000000001,0.046,0.073,0.7040000000000001,0.632,0.032,0.06,0.639
92,11019,3088,3177,3373,0.577396373056995,0.23089378238342,0.191709844559585,0.567201762669185,0.2401636764243,0.192634560906516,0.5609249925882,0.243403498369404,0.195671509042396,0.568652849740933,0.597104186339314,0.61458642158316,0.516515544041451,0.375971502590674,0.52219074598678,0.375196726471514,0.536317817966202,0.372665283130744,0.105960264900662,0.292715231788079,0.181456953642384,0.195364238410596,0.224503311258278,0.0964432284541724,0.27359781121751,0.192202462380301,0.207250341997264,0.230506155950752,0.0995475113122172,0.282482223658694,0.197802197802198,0.208791208791209,0.211376858435682,0.566998244587478,0.159742539496782,0.550817757009346,0.180490654205607,0.546200109349371,0.177692728266812,15.1536964980545,15.4424108551594,14.604802846131,0.525,0.052000000000000005,0.08,0.5720000000000001,0.046,0.073,0.735,0.632,0.032,0.06,0.648
93,11020,2803,2779,2786,0.617909382804138,0.206921155904388,0.175169461291473,0.581504138179201,0.236056135300468,0.182439726520331,0.571069633883704,0.227207465900933,0.201722900215363,0.544773457010346,0.585822238215185,0.615936826992103,0.469140206921156,0.377452729218694,0.472112270600936,0.380352644836272,0.478822684852836,0.382268485283561,0.10347085789129,0.265225933202358,0.111329404060249,0.20890635232482,0.311067452521284,0.0898245614035088,0.277894736842105,0.12,0.19578947368421,0.316491228070175,0.0840579710144928,0.282608695652174,0.13695652173913,0.179710144927536,0.316666666666667,0.578640776699029,0.127508090614887,0.598522167487685,0.125615763546798,0.57496740547588,0.145371577574967,18.5211015736767,18.5156869816084,18.6873653984207,0.525,0.052000000000000005,0.08,0.5720000000000001,0.046,0.073,0.731,0.632,0.032,0.06,0.648
94,11021,3653,3711,3715,0.4919244456611,0.235696687653983,0.272378866684916,0.478038264618701,0.262193478846672,0.259768256534627,0.469986541049798,0.258950201884253,0.271063257065949,0.682726526142896,0.708164915117219,0.726244952893674,0.524500410621407,0.375307966055297,0.509296685529507,0.389113446510375,0.510901749663526,0.394885598923284,0.149110807113543,0.274965800273598,0.132694938440492,0.209986320109439,0.233242134062928,0.116819141449683,0.314567206192822,0.131597466572836,0.199155524278677,0.237860661505982,0.123762376237624,0.306223479490806,0.146393210749646,0.178217821782178,0.245403111739745,0.510011123470523,0.188542825361513,0.520150456743686,0.185384202041913,0.536262572789836,0.161461090524087,13.8203231991235,14.5033756413719,14.8253028263795,0.525,0.052000000000000005,0.08,0.5720000000000001,0.046,0.073,0.6729999999999999,0.632,0.032,0.06,0.598
95,11022,3557,3709,3789,0.51672757942086,0.269046949676694,0.214225470902446,0.458344567268806,0.337826907522243,0.203828525208951,0.428345209817894,0.343890208498284,0.227764581683822,0.644925499016025,0.690212995416554,0.720242808128794,0.547090244588136,0.347764970480742,0.527365866810461,0.360744135885684,0.514911586170494,0.377408287147004,0.131396083385976,0.301326595072647,0.144030322173089,0.180037902716361,0.243209096651927,0.0697183098591549,0.316901408450704,0.157746478873239,0.188732394366197,0.266901408450704,0.0824135393671818,0.27888153053716,0.183958793230316,0.182487122884474,0.272259013980868,0.571428571428571,0.135684399282726,0.522842639593909,0.135532994923858,0.512207792207792,0.155324675324675,14.4092827004219,13.8998914812805,13.884930060702,0.525,0.052000000000000005,0.08,0.5720000000000001,0.046,0.073,0.6890000000000001,0.632,0.032,0.06,0.61
96,11023,2165,2660,3347,0.782909930715935,0.129792147806005,0.08729792147806,0.726691729323308,0.130827067669173,0.142481203007519,0.690469076785181,0.12279653420974,0.186734389005079,0.335334872979215,0.415789473684211,0.498356737376755,0.423556581986143,0.434180138568129,0.444360902255639,0.436842105263158,0.510606513295488,0.389901404242605,0.0527027027027027,0.118918918918919,0.133108108108108,0.250675675675676,0.444594594594595,0.0542021924482339,0.15347137637028,0.173568818514007,0.213763702801462,0.404993909866017,0.101020956475013,0.165502418054809,0.176786673831274,0.200429876410532,0.356260075228372,0.514498757249379,0.128417564208782,0.489694385216773,0.164179104477612,0.496485623003195,0.201916932907348,23.067992599445,19.5640060240964,17.3642067523155,0.525,0.052000000000000005,0.08,0.5720000000000001,0.046,0.073,0.855,0.632,0.032,0.06,0.7959999999999999
97,11024,2185,2534,2604,0.712128146453089,0.137757437070938,0.150114416475973,0.639700078926598,0.155485398579321,0.20481452249408,0.593701996927803,0.153225806451613,0.253072196620584,0.443935926773455,0.491318074191002,0.539938556067588,0.471395881006865,0.376201372997712,0.536306235201263,0.333859510655091,0.565284178187404,0.303379416282642,0.0544939844302902,0.169143665958953,0.13588110403397,0.21726822363765,0.423213021939137,0.0934139784946237,0.181451612903226,0.118951612903226,0.208333333333333,0.397849462365591,0.0790035587188612,0.195017793594306,0.130249110320285,0.200711743772242,0.395017793594306,0.56304520222046,0.0959555908009516,0.556865464632455,0.0846047156726768,0.594902749832327,0.0878604963112005,19.8877176901925,17.6526064464783,17.1831797235023,0.525,0.052000000000000005,0.08,0.5720000000000001,0.046,0.073,0.793,0.632,0.032,0.06,0.728
98,11025,3161,2965,2979,0.59696298639671,0.176210060107561,0.226826953495729,0.511973018549747,0.179426644182125,0.308600337268128,0.500503524672709,0.18429003021148,0.315206445115811,0.497310977538754,0.574704890387858,0.597851628063108,0.708636507434356,0.239481176842771,0.722765598650928,0.226306913996627,0.741859684457872,0.209130580731789,0.338785046728972,0.242990654205607,0.0794392523364486,0.115070093457944,0.223714953271028,0.250917094644167,0.215700660308144,0.0953778429933969,0.151137197358767,0.286867204695525,0.286676646706587,0.18937125748503,0.0845808383233533,0.148203592814371,0.291167664670659,0.426315789473684,0.190789473684211,0.457703927492447,0.170694864048338,0.488921713441654,0.162481536189069,10.7067383739323,11.5735344532053,11.6069150721719,0.525,0.052000000000000005,0.08,0.5720000000000001,0.046,0.073,0.853,0.632,0.032,0.06,0.7709999999999999
99,12001,2345,2250,2244,0.788486140724947,0.0916844349680171,0.119829424307036,0.774666666666667,0.092,0.133333333333333,0.770499108734403,0.0922459893048128,0.137254901960784,0.435394456289979,0.451111111111111,0.462566844919786,0.477611940298507,0.402132196162047,0.459111111111111,0.418666666666667,0.465686274509804,0.406417112299465,0.107554417413572,0.188220230473752,0.141485275288092,0.350832266325224,0.21190781049936,0.0804521276595745,0.201462765957447,0.132313829787234,0.327127659574468,0.258643617021277,0.0808080808080808,0.196632996632997,0.132659932659933,0.281481481481482,0.308417508417508,0.507618283881315,0.177225340817963,0.539007092198582,0.142631993695824,0.551750972762646,0.13852140077821,21.0797781569966,22.9438752783964,23.5922459893048,0.507,0.027999999999999997,0.039,0.53,0.028999999999999998,0.042,0.753,0.5920000000000001,0.027000000000000003,0.042,0.605
100,12002,2361,2435,2451,0.787801778907243,0.143159678102499,0.0690385429902584,0.766735112936345,0.149075975359343,0.0841889117043121,0.750713994288046,0.143206854345165,0.106079151366789,0.346039813638289,0.376180698151951,0.403508771929825,0.440491317238458,0.454044896230411,0.453388090349076,0.439014373716632,0.455732354141167,0.440636474908201,0.106840390879479,0.136807817589577,0.158306188925081,0.296416938110749,0.301628664495114,0.101628664495114,0.149185667752443,0.152442996742671,0.282084690553746,0.314657980456026,0.0931758530183727,0.153543307086614,0.143044619422572,0.280839895013123,0.329396325459318,0.429982046678636,0.207360861759426,0.451229855810008,0.207803223070399,0.464285714285714,0.20514950166113,22.2696390658174,22.1488486842105,22.2786617707058,0.507,0.027999999999999997,0.039,0.53,0.028999999999999998,0.042,0.8079999999999999,0.5920000000000001,0.027000000000000003,0.042,0.728
