,Gebietsnummer,Anzahl Einwohner,Anteil Deutsche,Anteil EU-Ausländer,Anteil Nicht EU-Ausländer,Anteil Migrationshintergrund,Anteil Ledige,Anteil Verheiratete,Anteil Deutsche W,Anteil EU-Ausländer W,Anteil 18-24-Jährige,Anteil 25-34-Jährige,Anteil 35-44-Jährige,Anteil 45-59-Jährige,Anteil 60-Jährige und Ältere,Anteil Einpersonenhaushalten,Anteil Haushalte mit Kindern,Wohndauer in München,SV-Beschäftigtendichte,Arbeitslosendichte,Erwerbsfähige Leistungsberechtigtendichte
270,12022,2112,81.9,10.7,7.4,32.7,61.1,27.2,87.3,12.7,12.7,25.2,16.6,20.7,24.8,68.0,11.1,17.3,58.1,2.7,4.4
271,12023,2236,77.3,14.0,8.7,34.0,63.3,27.0,83.8,16.2,12.1,25.3,17.8,24.1,20.7,69.0,10.4,16.9,58.1,2.7,4.4
272,12024,2185,79.2,13.9,6.9,34.2,57.8,32.5,84.1,15.9,7.9,25.7,21.2,23.7,21.5,62.0,13.7,17.2,58.1,2.7,4.4
273,12025,2115,83.4,10.5,6.1,28.0,54.9,32.4,88.1,11.9,8.2,21.8,17.8,23.6,28.6,61.1,13.8,21.9,58.1,2.7,4.4
274,12026,2279,74.7,13.6,11.7,36.6,54.8,34.5,83.2,16.8,6.4,22.6,18.5,25.9,26.6,62.4,14.3,17.8,58.1,2.7,4.4
275,12027,2226,73.8,13.3,13.0,40.3,54.2,33.4,84.1,15.9,6.3,28.0,16.5,19.2,29.9,63.7,11.2,18.7,58.1,2.7,4.4
276,12028,2273,77.0,14.3,8.7,37.6,56.9,32.9,83.2,16.8,10.2,24.7,18.2,23.5,23.5,60.7,15.2,17.7,58.1,2.7,4.4
277,12029,2048,75.9,13.3,10.8,37.5,57.3,31.7,84.3,15.7,9.6,26.5,16.9,17.5,29.5,65.0,10.2,18.0,58.1,2.7,4.4
278,12030,2139,78.5,10.3,11.2,40.3,53.0,35.9,86.9,13.1,7.2,22.2,21.7,23.1,25.7,53.6,19.8,18.0,58.1,2.7,4.4
279,12031,2374,73.4,12.0,14.6,51.5,48.2,35.8,84.9,15.1,9.1,17.8,15.2,24.6,33.4,55.6,15.9,22.2,58.1,2.7,4.4
