,Gebietsnummer,Anteil Deutsche Bevölkerung 2017,Anteil Nichtdeutsche EU Bevölkerung 2017,Anteil Nichtdeutsche nicht EU Bevölkerung 2017,Anteil Migrationshintergrund Bevölkerung 2017,Anteil Verheiratete Bevölkerung 2017,Anteil 18 - 24 Jährige Wahlberechtigte 2017,Anteil 25 - 34 Jährige Wahlberechtigte 2017,Anteil 35 - 44 Jährige Wahlberechtigte 2017,Anteil 45 - 59 Jährige Wahlberechtigte 2017,Anteil 60 Jährige und ältere Wahlberechtigte 2017,Anteil Einpersonenhaushalte 2017,Anteil Haushalte mit Kind(ern) 2017,durchschnittliche Wohndauer 2017,SV-Beschäftigtendichte 2017,Arbeitslosendichte 2017,ALG II - Empfängerdichte 2017,Wahlbeteiligung 2017,Label
29,4007,0.8,0.10901098901098899,0.09098901098901101,0.32527472527472495,0.345934065934066,0.0741457124435848,0.23017408123791103,0.17537072856221803,0.21534493874919397,0.304964539007092,0.584512285927029,0.14594192107222598,19.7326863696515,0.585,0.025,0.027000000000000003,0.868,2
30,4008,0.7560867640548921,0.12793271359008399,0.115980522355024,0.398406374501992,0.31385568835768,0.0987821380243572,0.257104194857916,0.160351826792963,0.21650879566982395,0.267253044654939,0.606038291605302,0.12960235640648,19.4709791758972,0.585,0.025,0.027000000000000003,0.8170000000000001,2
31,4009,0.8239051094890509,0.112226277372263,0.0638686131386861,0.322080291970803,0.376824817518248,0.0792478173270652,0.18200134318334502,0.186702484889187,0.25520483546004,0.29684351914036305,0.55375909458367,0.183508488278092,20.393704379562,0.585,0.025,0.027000000000000003,0.8570000000000001,2
32,4010,0.8099808061420349,0.11420345489443401,0.0758157389635317,0.343090211132438,0.330134357005758,0.0828767123287671,0.236986301369863,0.16027397260273998,0.24657534246575302,0.273287671232877,0.596322941646683,0.13429256594724198,19.5288461538462,0.585,0.025,0.027000000000000003,0.8790000000000001,2
33,4011,0.853220696937698,0.0923970432946146,0.0543822597676874,0.257127771911299,0.307286166842661,0.0831600831600832,0.22661122661122698,0.153846153846154,0.252252252252252,0.284130284130284,0.6770583533173461,0.105515587529976,22.150185087255398,0.585,0.025,0.027000000000000003,0.838,1
34,4012,0.7988001845869871,0.12275034610060001,0.0784494693124135,0.319796954314721,0.271342870327642,0.0802348336594912,0.3235485975212,0.19569471624266102,0.18330071754729302,0.21722113502935397,0.6642599277978339,0.11913357400722001,16.2933826931976,0.585,0.025,0.027000000000000003,0.861,2
35,4013,0.7087888062964579,0.16047223436816802,0.13073895933537402,0.408832531700918,0.252732837778749,0.128726287262873,0.225609756097561,0.14159891598916,0.193766937669377,0.31029810298103006,0.648902821316614,0.0948275862068966,18.4214912280702,0.585,0.025,0.027000000000000003,0.777,2
36,4014,0.826913700633837,0.10287664553876198,0.0702096538274013,0.290589956118966,0.33008288639688,0.0843688685415304,0.23544800523217801,0.132766514061478,0.20536298234140002,0.34205362982341403,0.64100666173205,0.0984455958549223,23.8349609375,0.585,0.025,0.027000000000000003,0.7929999999999999,1
37,4015,0.7972782731112149,0.114500234631628,0.0882214922571563,0.346785546691694,0.381980290943219,0.078125,0.18070652173913002,0.158288043478261,0.222826086956522,0.36005434782608703,0.582879377431907,0.133852140077821,23.1344616831218,0.585,0.025,0.027000000000000003,0.8270000000000001,1
38,4016,0.8204277286135692,0.0907079646017699,0.0888643067846608,0.42072271386430704,0.399705014749262,0.131439894319683,0.10964332892998699,0.180977542932629,0.42338177014531003,0.15455746367239098,0.261477045908184,0.44710578842315396,18.961964549483,0.585,0.025,0.027000000000000003,0.861,2
39,4017,0.730666666666667,0.116148148148148,0.153185185185185,0.4826666666666671,0.327703703703704,0.11210494931425201,0.22242098986285,0.231961836612999,0.282051282051282,0.151460942158617,0.33676975945017196,0.40292096219931295,12.862377122430699,0.585,0.025,0.027000000000000003,0.8540000000000001,3
40,4018,0.8409813721035891,0.09722853248523401,0.0617900954111767,0.289413902771468,0.328032712403453,0.11594202898550698,0.263390044108381,0.16005040957782,0.229363579080025,0.23125393824826698,0.552006552006552,0.155610155610156,18.2176684881603,0.585,0.025,0.027000000000000003,0.855,2
41,4019,0.7138116963915391,0.162588137702198,0.123600165906263,0.425134798838656,0.28369970966404,0.122250970245796,0.288486416558862,0.178525226390686,0.188874514877102,0.22186287192755497,0.637130801687764,0.10478199718706001,16.3941787941788,0.585,0.025,0.027000000000000003,0.8390000000000001,2
42,4020,0.8363899613899609,0.0955598455598456,0.068050193050193,0.297297297297297,0.286196911196911,0.0734426229508197,0.291147540983607,0.17836065573770496,0.204590163934426,0.25245901639344304,0.674351585014409,0.112391930835735,18.139063254466397,0.585,0.025,0.027000000000000003,0.856,2
43,4021,0.836103416435826,0.10433979686057199,0.0595567867036011,0.27746999076639,0.32409972299169,0.0637191157347204,0.229518855656697,0.198959687906372,0.25942782834850503,0.24837451235370603,0.591666666666667,0.15227272727272698,18.8286374133949,0.585,0.025,0.027000000000000003,0.8759999999999999,2
44,4022,0.7910714285714279,0.13616071428571402,0.0727678571428572,0.328125,0.304910714285714,0.0759819703799098,0.264005151320026,0.200257566001288,0.208628461043142,0.251126851255634,0.644150417827298,0.115598885793872,17.3299107142857,0.585,0.025,0.027000000000000003,0.8540000000000001,2
45,4023,0.834542815674891,0.10498306724721801,0.0604741170778907,0.30478955007256897,0.313981615868408,0.0655518394648829,0.27826086956521695,0.204682274247492,0.191973244147157,0.259531772575251,0.6523378582202111,0.12971342383107098,17.4476744186047,0.585,0.025,0.027000000000000003,0.8490000000000001,2
46,4024,0.824586977648202,0.128765792031098,0.0466472303206997,0.290087463556851,0.28862973760933003,0.0594594594594595,0.29797297297297304,0.19864864864864898,0.21013513513513501,0.23378378378378398,0.663884673748103,0.11760242792109299,16.7535314174379,0.585,0.025,0.027000000000000003,0.8740000000000001,2
47,4025,0.821111630079402,0.12190565156468902,0.0569827183559085,0.309668379262027,0.32881830920130795,0.06996699669966999,0.224422442244224,0.19603960396039602,0.22310231023102303,0.28646864686468604,0.6379182156133829,0.13903345724907099,18.8844174075807,0.585,0.025,0.027000000000000003,0.8690000000000001,2
48,4026,0.8163804491413471,0.11756935270805802,0.0660501981505945,0.321003963011889,0.34698370761778996,0.0656050955414013,0.21783439490445897,0.20063694267515902,0.254777070063694,0.261146496815287,0.600297176820208,0.16047548291233302,18.7207763564182,0.585,0.025,0.027000000000000003,0.8620000000000001,2
49,4027,0.7847711267605629,0.129841549295775,0.08538732394366201,0.33714788732394396,0.305017605633803,0.0785997357992074,0.271466314398943,0.18824306472919397,0.228533685601057,0.23315719947159802,0.625,0.141335227272727,16.579179532421698,0.585,0.025,0.027000000000000003,0.865,2
50,4028,0.772457627118644,0.11737288135593198,0.110169491525424,0.340677966101695,0.257203389830508,0.105128205128205,0.28974358974359005,0.189102564102564,0.198076923076923,0.21794871794871803,0.624479600333056,0.154038301415487,15.674329501915699,0.585,0.025,0.027000000000000003,0.8620000000000001,3
51,4029,0.826275264677575,0.114051973051011,0.0596727622714148,0.30125120307988396,0.298845043310876,0.0751173708920188,0.269617706237425,0.17907444668008,0.21395036887994603,0.26224010731053,0.6566265060240961,0.115963855421687,18.2640963855422,0.585,0.025,0.027000000000000003,0.851,2
52,4030,0.7674203968620209,0.137978772496539,0.0946008306414398,0.345639132441163,0.261652053530226,0.0865006553079948,0.34141546526867605,0.166448230668414,0.176933158584535,0.22870249017038,0.6788674033149169,0.08218232044198899,16.746192893401002,0.585,0.025,0.027000000000000003,0.851,2
