Gebietsnummer,CSU,SPD,GRÜNE,FDP,AfD,DIE LINKE
4009,24.4898,21.4966,21.63265,14.55782,5.71429,8.29932
4010,23.93768,18.55524,20.53824,14.44759,8.49858,9.49008
4011,20.74883,20.59282,22.93292,12.32449,5.77223,13.88456
4012,23.26333,15.34733,22.77868,16.31664,5.16963,13.73183
4013,23.90318,19.3646,20.27231,9.6823,8.47201,11.49773
4014,26.47528,20.25518,15.311,11.64274,9.40989,9.2504
4015,22.84866,18.24926,17.65579,13.50148,11.86944,11.86944
4016,17.65389,19.5122,32.9849,9.05923,4.87805,11.96283
4017,22.98436,16.12515,27.19615,14.56077,7.22022,8.30325
4018,19.88131,17.21068,24.92582,14.98516,5.78635,10.97923
4019,21.9973,18.75843,21.9973,13.36032,6.07287,12.0108
4020,24.37086,17.88079,25.56291,13.77483,5.03311,9.53642
4021,19.85816,17.58865,25.67376,18.7234,3.12057,9.92908
4022,23.19277,17.46988,20.03012,21.23494,6.62651,7.98193
4023,23.2,17.92,18.88,24.16,4.0,7.68
4024,23.20675,12.65823,23.62869,22.92546,5.20394,8.86076
4025,28.05755,15.68345,20.86331,20.14388,4.60432,8.20144
4026,22.42038,15.41401,27.51592,18.21656,5.09554,9.55414
4027,22.31884,14.34783,25.7971,18.69565,6.66667,8.98551
4028,24.04692,15.68915,25.95308,15.9824,3.66569,10.41056
4029,22.63314,16.71598,22.92899,16.56805,7.24852,9.31953
4030,17.33129,18.71166,24.84663,14.8773,6.90184,12.57669
10001,28.97822,18.25796,14.57286,11.55779,12.56281,8.54271
10002,32.33618,16.66667,14.81481,13.39031,12.67806,6.26781
10003,29.79866,19.86577,14.89933,14.36242,11.27517,5.36913
10004,32.35772,16.74797,10.56911,10.89431,15.28455,8.94309
10005,28.84903,18.53513,9.71599,11.36024,15.39611,8.22123
10006,26.80578,23.11396,13.16212,8.82825,12.35955,7.70465
10007,34.24437,18.48875,13.50482,11.73633,9.96785,6.43087
10008,26.41166,17.85064,14.20765,12.56831,11.11111,10.56466
10009,33.70945,17.91255,12.55289,11.98872,9.16784,8.18054
10010,30.21108,17.28232,16.62269,10.94987,10.29024,7.25594
10011,28.75175,20.61711,13.04348,10.65919,11.36045,6.59187
10012,29.95595,18.06167,14.97797,12.62849,9.2511,8.51689
10013,35.11989,17.91255,13.82228,12.97602,9.44993,6.7701
10014,29.85294,21.02941,10.0,12.20588,13.67647,7.05882
10015,27.14724,19.93865,12.57669,10.1227,13.03681,9.35583
10016,31.81818,24.39394,9.84848,8.18182,12.42424,5.60606
10017,27.0229,17.55725,12.36641,12.9771,12.36641,9.16031
10018,26.92939,22.6601,10.34483,11.33005,12.80788,9.85222
10019,25.40541,20.9009,17.65766,8.82883,10.63063,10.99099
10020,18.00327,18.98527,26.67758,10.6383,8.18331,12.11129
10021,22.49561,21.61687,9.31459,10.72056,18.10193,10.36907
11001,27.90368,24.36261,8.49858,7.93201,13.03116,10.33994
11002,25.0,25.91463,13.41463,8.53659,9.45122,9.7561
11003,30.52632,21.57895,6.14035,4.91228,16.84211,11.75439
11004,26.71119,25.20868,8.51419,8.68114,14.52421,10.01669
11005,29.22535,24.82394,6.33803,5.6338,18.48592,7.21831
11006,22.69504,26.24113,6.91489,6.38298,19.14894,10.46099
11007,25.86466,18.64662,11.72932,12.93233,15.93985,7.81955
11008,28.78788,18.33333,12.57576,11.51515,15.15152,7.42424
11009,28.03419,19.82906,10.08547,10.08547,15.04274,9.74359
11010,25.12479,24.12646,6.48918,8.98502,15.80699,10.31614
11011,28.09917,19.83471,13.71901,9.75207,12.56198,10.7438
11012,24.36306,29.14013,10.50955,6.52866,13.21656,9.71338
11013,23.2715,18.54975,16.3575,14.16526,10.11804,10.79258
11014,25.78348,19.80057,15.66952,13.67521,10.82621,9.54416
11015,24.87136,17.83877,13.37907,12.34991,13.89365,9.94854
11016,25.64103,17.94872,15.86538,10.09615,12.82051,11.53846
11017,27.43902,18.59756,17.53049,8.9939,10.51829,11.7378
11018,26.61417,17.95276,13.70079,11.65354,11.9685,10.55118
11019,30.58824,18.82353,16.63866,10.92437,9.91597,7.05882
11020,27.97428,19.2926,12.54019,12.21865,10.61093,9.80707
11021,26.63043,22.10145,12.5,10.50725,14.13043,7.24638
11022,25.5814,15.69767,11.24031,14.72868,12.5969,12.0155
11023,21.76542,20.79807,19.34704,13.90568,9.18984,10.64087
11024,26.51934,19.33702,14.22652,10.49724,10.35912,10.63536
11025,21.97802,19.78022,20.87912,14.10256,5.49451,10.98901
12001,28.33333,17.36111,11.80556,10.97222,18.88889,6.80556
12002,33.89392,16.81759,12.93661,9.96119,14.74774,5.56274
12003,25.78616,25.9434,8.1761,8.1761,13.83648,10.53459
12004,29.84375,17.96875,9.375,13.4375,13.59375,10.3125
12005,28.85638,17.95213,16.35638,12.36702,10.90426,7.84574
12006,32.78008,22.61411,6.84647,11.41079,11.20332,7.05394
12007,28.83156,16.99545,16.38847,13.8088,9.40819,8.04249
12008,29.47531,12.34568,21.14198,15.4321,8.7963,6.94444
12009,27.6435,15.40785,12.83988,16.01208,12.53776,8.76133
12010,25.56237,22.08589,7.77096,8.38446,17.17791,9.40695
12011,25.13661,17.12204,20.76503,16.57559,6.92168,9.10747
12012,23.16865,21.80579,18.56899,9.88075,9.36968,11.07325
12013,26.0479,16.91617,17.96407,11.37725,8.38323,11.37725
12014,19.45455,15.09091,19.45455,15.09091,8.54545,14.90909
12015,25.17007,15.13605,19.55782,13.60544,10.20408,9.69388
12016,28.43511,19.08397,17.17557,13.54962,8.77863,7.63359
12017,30.29316,12.54072,19.86971,20.52117,5.53746,6.84039
12018,27.34139,11.32931,20.54381,20.54381,5.58912,9.36556
12019,27.75393,16.02289,17.02432,20.4578,5.86552,7.58226
12020,26.29108,16.74491,19.71831,14.71049,7.51174,10.64163
12021,27.81155,14.89362,19.75684,22.64438,3.95137,7.29483
12022,28.57143,12.46201,21.58055,20.66869,5.16717,7.75076
12023,24.72527,13.87363,19.78022,23.76374,6.59341,8.65385
12024,24.96552,14.2069,23.31034,19.58621,5.37931,9.10345
12025,26.90289,16.66667,21.39108,16.7979,5.24934,9.44882
12026,26.17587,12.47444,18.20041,24.53988,6.95297,7.97546
